time,phase,knee_r_rad,knee_l_rad,hip_r_rad,hip_l_rad,ankle_r_rad,ankle_l_rad,tau_demand_r_Nm,tau_demand_l_Nm,X_geom_r_mm,X_geom_l_mm
0.3000000000000002,1,1.7163239050263235,1.7161206157083868,1.062201954231375,1.0625437624041938,0.06492902164003686,0.06762197488737214,0.8381496383874172,0.8188096183034066,0.841902374341913,0.8469846072903299
0.3100000000000002,1,1.7166410727429622,1.716469780106349,1.0632676087651907,1.0637244497994531,0.0647631117301685,0.06741614395886254,0.8374181659456212,0.8266538303911144,0.8339731814259455,0.8382554973412727
0.32000000000000023,1,1.716936185435018,1.71678554224523,1.064240027815983,1.064775252665741,0.06446643025095335,0.06705474901927916,0.835929994136638,0.8142491892134931,0.8265953641245494,0.8303614438692486
0.33000000000000024,1,1.717268293565033,1.7170358461575805,1.0653326518354616,1.0657358672254489,0.06443637513280506,0.0676812728255819,0.8335445838801281,0.8131163323300719,0.8182926608741758,0.8241038460604866
0.34000000000000025,1,1.7175177191405322,1.7173615737307748,1.0661870618995866,1.0667854502021001,0.06444681776427792,0.06723869869428868,0.8326995258162668,0.8169692434214753,0.8120570214866951,0.81596065673063
0.35000000000000026,1,1.7178605473965314,1.71764970571405,1.0672927993036758,1.0678222555438528,0.06425064858543843,0.06746752702266916,0.8328805793945264,0.8079276702512903,0.8034863150867155,0.8087573571487483
0.36000000000000026,1,1.7181861580787396,1.717912336491837,1.0683895743187823,1.0688384250969882,0.06405555864111177,0.0676755251324726,0.8306413066969682,0.808028920624789,0.795346048031509,0.8021915877040764
0.3700000000000003,1,1.718447069548484,1.7181726981864551,1.0693301424601283,1.0698343946038706,0.06400188415289476,0.06772645788307129,0.828681091982812,0.8085162916771189,0.788823261287902,0.7956825453386218
0.3800000000000003,1,1.7187100041519454,1.718470599731302,1.0703019266374136,1.0708755985860012,0.06404623742932583,0.06778306039215096,0.8284530974279107,0.8048546509208485,0.7822498962013646,0.7882350067174526
0.3900000000000003,1,1.7189849647801627,1.7187525320121797,1.0713237476801964,1.0718960395397683,0.06405669722791238,0.06799587620247587,0.8269282926906012,0.8023586141096715,0.7753758804959322,0.7811866996955075
0.4000000000000003,1,1.7192170584383302,1.719002961436808,1.072202544609113,1.0728349047702233,0.06410752531026645,0.06807339829977647,0.8258530124890076,0.8026701988331393,0.7695735390417457,0.7749259640797979
0.4100000000000003,1,1.7195389722654673,1.7192992342050923,1.0732990288384054,1.0739096052256856,0.06396871211750413,0.06822413329341404,0.8257080422015921,0.7996742946411768,0.7615256933633185,0.7675191448726915
0.4200000000000003,1,1.7198234982252028,1.7195750626040074,1.074284690210255,1.074947045455432,0.06401651224887311,0.06810665814090786,0.8233360932279101,0.7986338146888823,0.7544125443699313,0.7606234348998153
0.4300000000000003,1,1.7201457409772924,1.7198636517100745,1.075388191731754,1.076060642858924,0.06430094610871989,0.06840201043003535,0.8225862396423267,0.7965337655191718,0.7463564755676888,0.7534087072481378
0.44000000000000034,1,1.7204655383298402,1.7201489947809374,1.0764992246996583,1.0771187435294807,0.0641060836075616,0.06844567624274088,0.8242177064874294,0.7954276639320863,0.7383615417539957,0.7462751304765647
0.45000000000000034,1,1.7207039167058273,1.7203689912457587,1.0774295144242454,1.078020141624513,0.06403993553259782,0.06868825259046803,0.8201669002002809,0.7936393095104304,0.7324020823543166,0.7407752188560324
0.46000000000000035,1,1.720931262576665,1.720620034261408,1.0783200122108838,1.078988940069246,0.06422311455707909,0.06874947003545902,0.8196031992957789,0.7924120109337132,0.7267184355833735,0.7344991434648008
0.47000000000000036,1,1.721190724482757,1.7208503751246218,1.0792725186666945,1.079922327587719,0.06436800823728935,0.06903739750362252,0.8189459527319336,0.7899294147355835,0.7202318879310776,0.728740621884455
0.48000000000000037,1,1.7215186902781032,1.721150730427855,1.0804329367891523,1.0810554964493864,0.06426851528458959,0.06914017165817106,0.8181009903860357,0.7899602701084394,0.7120327430474194,0.7212317393036238
0.4900000000000004,1,1.721789294862524,1.721399301568668,1.0814466032596517,1.0820662094446314,0.06442338422928728,0.06943578033772935,0.8160413149582393,0.7876902561180987,0.7052676284369009,0.7150174607833015
